Phyla	Lean Clay	Sandy Silt	Organic Soil	Poorly-Graded Sand	Fat Clay	Sandy Lean Clay
Proteobacteria	0.365771966	0.317605718	0.331010213	0.224819248	0.354116712	0.369156295
Acidobacteria	0.134460447	0.166406522	0.191391657	0.269140296	0.067611331	0.09068551
Chloroflexi	0.127735209	0.101471021	0.041944137	0.114809126	0.250513632	0.110399597
Bacteroidetes	0.083960434	0.068728183	0.069486896	0.039120294	0.086507025	0.206978425
Actinobacteria	0.046187298	0.075656629	0.154177433	0.057796021	0.044805971	0.024335186
Verrucomicrobia	0.040520797	0.077454767	0.081717731	0.037448699	0.025030499	0.005928756
Nitrospirae	0.036294272	0.01719333	0.004026086	0.015622139	0.020205083	0.02043702
Other	0.165069576	0.175483829	0.126245847	0.241244178	0.151209746	0.172079211
