Phyla	0-10%	10-20%	20-30%	30-40%	40-50%	50-60%	60-70%	70-80%	80-90%	90-100%
Proteobacteria	0.249708703	0.171739687	0.23911411	0.272938319	0.328635433	0.365267762	0.324967504	0.371042856	0.536328132	0.438362506
Acidobacteria	0.232125547	0.275316105	0.262775368	0.217318717	0.135069361	0.095718014	0.106393145	0.061927172	0.043414903	0.080646105
Chloroflexi	0.098137509	0.14051649	0.097227924	0.123518497	0.177778354	0.133202485	0.174162926	0.193194498	0.133722124	0.118119389
Bacteroidetes	0.0412753	0.027273608	0.038003709	0.042823628	0.053469813	0.109085162	0.085770316	0.132401509	0.081651801	0.130365838
Actinobacteria	0.111878208	0.060941953	0.075693206	0.071991993	0.070894721	0.036114235	0.040579894	0.03206717	0.013018314	0.023205802
Verrucomicrobia	0.088784087	0.092625128	0.070750919	0.051417313	0.055205618	0.030608299	0.026501479	0.014650535	0.008306505	0.015350951
Nitrospirae	0.004321302	0.005018261	0.009913564	0.026196458	0.030425477	0.049684272	0.053372071	0.033809241	0.047666379	0.032163363
Other	0.173769344	0.226568769	0.2065212	0.193795076	0.148521223	0.180319771	0.188252664	0.160907019	0.135891842	0.161786045
