Phyla	1	2	3	4	5	6	7	8	9	10
Proteobacteria	0.320639439	0.306186291	0.467504179	0.443601806	0.526628351	0.34847098	0.236862342	0.220886281	0.238855189	0.366752684
Acidobacteria	0.150623581	0.124934674	0.107728458	0.054408207	0.071466383	0.079626061	0.284757906	0.265618453	0.220434797	0.091851801
Chloroflexi	0.165697075	0.162538074	0.081681594	0.180371558	0.104717346	0.115856848	0.14418602	0.097638629	0.133824859	0.116170467
Bacteroidetes	0.055824529	0.097726397	0.103347034	0.143574382	0.096096273	0.167167928	0.016536121	0.038454456	0.048804095	0.077370195
Actinobacteria	0.075958331	0.048738617	0.025382634	0.015735311	0.024276239	0.061336316	0.044580798	0.072461937	0.067082428	0.064658326
Verrucomicrobia	0.046404823	0.043535777	0.039658904	0.02139939	0.02592661	0.05264969	0.063158797	0.040015656	0.038662935	0.065503619
Nitrospirae	0.02046395	0.043581176	0.031313928	0.014728012	0.026727329	0.041545079	0.023027395	0.010968434	0.018536881	0.044876641
Other	0.164388273	0.172758994	0.14338327	0.126181335	0.124161469	0.133347098	0.186890622	0.253956153	0.233798815	0.172816267
